Accession	Origin	status
MONTE_CRISTO	1	2
NDB136	0	1
HERAN	1	0
OBSKOI	1	0
JAREK|PI599633	1	0
TRIUMF	1	0
ND7159	0	1
ND4856	0	1
ND8763	0	1
CREEL	0	0
TX01D198	0	1
TX99D302	0	1
REGENT	1	0
AUKSINIAJ3	0	0
PATRIOT	0	0
DUNOIS	0	0
ND24393	1	1
ND15443	1	1
NOVOOMSKII	0	0
1051	0	2
CI3199	1	1
SAGGIA|PI42889	1	3
B-112	1	2
KRYMSKII17	1	0
SN-84A	1	2
KHARDZHAU	1	0
B-76	1	2
39789	1	2
II-20	1	3
6995	1	2
10246	1	1
TONG_BEI_PI1HAO	1	2
10251	1	2
FLE_NO._B68	1	2
15050	1	3
15077	1	2
1921-07	1	2
K2003-46	1	2
JOGEVA	1	0
ENTRESOLE	1	2
ABAVA	1	0
VIKING	1	0
AC_STACEY	1	0
CI3349	1	2
MAHIGAN	1	0
RNB-29	1	2
RNB-373	1	2
LUTSKII	1	0
SN-11	1	2
SN-33	1	2
COMMUNE_A	1	2
WIR25662	1	3
CHOSEN	1	2
RNB-67	1	2
TX01D312	0	1
TX02D285	0	1
TX01D148	0	1
TX01D230	0	1
TX01D155	0	1
TX01D164	0	1
TX99D684	0	1
TX01D353	0	1
TX02D271	0	1
PRIMUS_II	1	0
LIMA_MONTEIRO	1	0
1046	1	2
HANACKY_STAROVESKY	1	0
MILENINUM	1	3
MUTANS_SANDOMIERSKI	1	0
C.P.I.13551	1	3
C.P.I.20561	1	2
HATVANI1108	1	0
BELADI|PI283433	1	2
S-42	1	2
MFB101	1	0
BANKUTI_KORAI	1	0
21D	1	2
MAKSIMIRSKI452	1	0
CI9878	1	2
NABAWI	1	3
JOW|PI223446	1	2
MANON|PI234322	1	0
KENYA_RESEARCH|PI234846	1	0
BALADI|PI233834	1	2
HEINE_FL0367/53	1	1
PAPHITICO|PI226614	1	0
SURPRISE-II-750-3B-1B-1-7T	1	1
MINERVA|CIHO11477	1	0
PAPHITICO|PI235178	1	0
CI10727	1	2
DUAB	1	2
CI14286	1	2
CI14344	1	2
3124-8	1	2
COR.61-2141-26	0	1
DJEBALI|CIHO15313	1	2
JEBALI|CIHO15349	1	2
SAFRA|CIHO15365	1	2
QB136.34	1	1
QB138.28	1	1
WA10081-63	0	1
QB139.8	1	1
QB139.17	1	1
GIAGINSKII	1	0
IRMKE	1	0
FL7138A3-102	0	1
ISOGENIC:_GILLETTE-HAIRED_GLUME_(STB_S)	0	4
ISOGENIC:_NNLK2LK2VVII	0	4
BOHEMIAN	1	0
ISOGENIC:_RR_WHITE_ALEURONE	0	4
ISOGENIC:_NORMAL_HEIGHT_DEKAP	0	4
ANDIE	1	2
KIRGIZ	1	2
BARBARY	1	2
JAO|PI176010	1	2
MAROCCAINE0187	1	0
7141	1	2
OTTERBACHER	1	0
GROAVAC-BUSKAT	1	2
CALCAROIDES	1	4
ORGE4A	1	3
KYOJO_ROKKAKU780	1	2
2747	1	2
4691	1	2
5662	1	2
36AB2568	0	1
STEPHAN	1	4
