Accession	spike_row
MONTE_CRISTO	1
NDB136	1
HERAN	0
OBSKOI	0
JAREK|PI599633	0
TRIUMF	0
ND7159	0
ND4856	0
ND8763	0
CREEL	1
TX01D198	1
TX99D302	1
REGENT	0
AUKSINIAJ3	0
PATRIOT	0
DUNOIS	0
ND24393	0
ND15443	0
NOVOOMSKII	0
1051	1
CI3199	1
SAGGIA|PI42889	1
B-112	1
KRYMSKII17	0
SN-84A	0
KHARDZHAU	1
B-76	1
39789	0
II-20	1
6995	1
10246	1
TONG_BEI_PI1HAO	1
10251|PI86188	0
FLE_NO._B68	0
15050	0
15077	1
1921-07	1
K2003-46	0
JOGEVA	0
ENTRESOLE	1
ABAVA	0
VIKING	0
AC_STACEY	1
CI3349	0
MAHIGAN	1
RNB-29	1
RNB-373	1
LUTSKII	0
SN-11	0
SN-33	0
COMMUNE_A	1
WIR25662	0
CHOSEN	1
RNB-67	1
TX01D312	1
TX02D285	1
TX01D148	1
TX01D230	1
TX01D155	1
TX01D164	1
TX99D684	1
TX01D353	1
TX02D271	1
PRIMUS_II	0
LIMA_MONTEIRO	0
1046	1
HANACKY_STAROVESKY	0
MILENINUM	0
MUTANS_SANDOMIERSKI	0
C.P.I.13551	0
C.P.I.20561	0
HATVANI1108	0
BELADI|PI283433	1
S-42	1
MFB101	0
BANKUTI_KORAI	0
21D	1
MAKSIMIRSKI452	1
CI9878	1
NABAWI	1
JOW|PI223446	1
MANON|PI234322	0
KENYA_RESEARCH|PI234846	0
BALADI|PI233834	1
HEINE_FL0367/53	1
PAPHITICO|PI226614	1
SURPRISE-II-750-3B-1B-1-7T	1
MINERVA|CIHO11477	0
PAPHITICO|PI235178	1
CI10727	0
DUAB	0
CI14286	1
CI14344	1
3124-8	1
COR.61-2141-26	0
DJEBALI|CIHO15313	1
JEBALI|CIHO15349	1
SAFRA|CIHO15365	1
QB136.34	1
QB138.28	1
WA10081-63	1
QB139.8	1
QB139.17	1
GIAGINSKII	0
IRMKE	0
FL7138A3-102	1
ISOGENIC:_GILLETTE-HAIRED_GLUME_(STB_S)	1
ISOGENIC:_NNLK2LK2VVII	1
BOHEMIAN	1
ISOGENIC:_RR_WHITE_ALEURONE	1
ISOGENIC:_NORMAL_HEIGHT_DEKAP	0
ANDIE	1
KIRGIZ	0
BARBARY	1
JAO|PI176010	0
MAROCCAINE0187	1
7141	0
OTTERBACHER	0
GROAVAC-BUSKAT	0
CALCAROIDES	0
ORGE4A	1
KYOJO_ROKKAKU780	1
2747	0
4691	0
5662	1
36AB2568	1
STEPHAN	0
CI7503	1
HODONINSKY_KVAS	0
DOMEN|CIHO10035	0
TYPE5	1
EGYPT4SELECTION	1
